13:28:17.533962, (127.0.0.1:20001), (192.168.1.12:5000), 103680, 103680, ACK:0 FIN:0
13:28:18.030801, (127.0.0.1:20001), (192.168.1.12:5000), 104256, 104256, ACK:0 FIN:0
13:28:18.455342, (127.0.0.1:20001), (192.168.1.12:5000), 104832, 104832, ACK:0 FIN:0
13:28:18.876567, (127.0.0.1:20001), (192.168.1.12:5000), 105408, 105408, ACK:0 FIN:0
13:28:19.224627, (127.0.0.1:20001), (192.168.1.12:5000), 105984, 105984, ACK:0 FIN:0
13:28:19.648471, (127.0.0.1:20001), (192.168.1.12:5000), 106560, 106560, ACK:0 FIN:0
13:28:20.073838, (127.0.0.1:20001), (192.168.1.12:5000), 107136, 107136, ACK:0 FIN:0
13:28:20.499131, (127.0.0.1:20001), (192.168.1.12:5000), 107712, 107712, ACK:0 FIN:0
13:28:20.924186, (127.0.0.1:20001), (192.168.1.12:5000), 108288, 108288, ACK:0 FIN:0
13:28:21.275350, (127.0.0.1:20001), (192.168.1.12:5000), 108864, 108864, ACK:0 FIN:0
13:28:21.698902, (127.0.0.1:20001), (192.168.1.12:5000), 109440, 109440, ACK:0 FIN:0
13:28:22.124787, (127.0.0.1:20001), (192.168.1.12:5000), 110016, 110016, ACK:0 FIN:0
13:28:22.548841, (127.0.0.1:20001), (192.168.1.12:5000), 110592, 110592, ACK:0 FIN:0
13:28:23.020865, (127.0.0.1:20001), (192.168.1.12:5000), 111168, 111168, ACK:0 FIN:0
13:28:23.445466, (127.0.0.1:20001), (192.168.1.12:5000), 111744, 111744, ACK:0 FIN:0
13:28:23.870117, (127.0.0.1:20001), (192.168.1.12:5000), 112320, 112320, ACK:0 FIN:0
13:28:24.296144, (127.0.0.1:20001), (192.168.1.12:5000), 112896, 112896, ACK:0 FIN:0
13:28:24.717807, (127.0.0.1:20001), (192.168.1.12:5000), 113472, 113472, ACK:0 FIN:0
13:28:25.144170, (127.0.0.1:20001), (192.168.1.12:5000), 114048, 114048, ACK:0 FIN:0
13:28:25.570424, (127.0.0.1:20001), (192.168.1.12:5000), 114624, 114624, ACK:0 FIN:0
13:28:25.919984, (127.0.0.1:20001), (192.168.1.12:5000), 115200, 115200, ACK:0 FIN:0
13:28:26.343298, (127.0.0.1:20001), (192.168.1.12:5000), 115776, 115776, ACK:0 FIN:0
13:28:26.768364, (127.0.0.1:20001), (192.168.1.12:5000), 116352, 116352, ACK:0 FIN:0
13:28:27.190822, (127.0.0.1:20001), (192.168.1.12:5000), 116928, 116928, ACK:0 FIN:0
13:28:27.616380, (127.0.0.1:20001), (192.168.1.12:5000), 117504, 117504, ACK:0 FIN:0
13:28:28.040628, (127.0.0.1:20001), (192.168.1.12:5000), 118080, 118080, ACK:0 FIN:0
13:28:28.388940, (127.0.0.1:20001), (192.168.1.12:5000), 118656, 118656, ACK:0 FIN:0
13:28:28.811591, (127.0.0.1:20001), (192.168.1.12:5000), 119232, 119232, ACK:0 FIN:0
13:28:29.234690, (127.0.0.1:20001), (192.168.1.12:5000), 119808, 119808, ACK:0 FIN:0
13:28:29.659815, (127.0.0.1:20001), (192.168.1.12:5000), 120384, 120384, ACK:0 FIN:0
13:28:30.083032, (127.0.0.1:20001), (192.168.1.12:5000), 120960, 120960, ACK:0 FIN:0
13:28:30.508364, (127.0.0.1:20001), (192.168.1.12:5000), 121536, 121536, ACK:0 FIN:0
13:28:30.931752, (127.0.0.1:20001), (192.168.1.12:5000), 122112, 122112, ACK:0 FIN:0
13:28:31.282423, (127.0.0.1:20001), (192.168.1.12:5000), 122688, 122688, ACK:0 FIN:0
13:28:31.706867, (127.0.0.1:20001), (192.168.1.12:5000), 123264, 123264, ACK:0 FIN:0
13:28:32.130990, (127.0.0.1:20001), (192.168.1.12:5000), 123840, 123840, ACK:0 FIN:0
13:28:32.554201, (127.0.0.1:20001), (192.168.1.12:5000), 124416, 124416, ACK:0 FIN:0
13:28:33.024692, (127.0.0.1:20001), (192.168.1.12:5000), 124992, 124992, ACK:0 FIN:0
13:28:33.447626, (127.0.0.1:20001), (192.168.1.12:5000), 125568, 125568, ACK:0 FIN:0
13:28:33.872585, (127.0.0.1:20001), (192.168.1.12:5000), 126144, 126144, ACK:0 FIN:1
13:31:46.196443, (127.0.0.1:20001), (192.168.1.12:5000), 0, 0, ACK:0 FIN:0
13:31:46.622093, (127.0.0.1:20001), (192.168.1.12:5000), 576, 576, ACK:0 FIN:0
13:31:47.047019, (127.0.0.1:20001), (192.168.1.12:5000), 1152, 1152, ACK:0 FIN:0
13:31:47.467223, (127.0.0.1:20001), (192.168.1.12:5000), 1728, 1728, ACK:0 FIN:0
13:31:47.890060, (127.0.0.1:20001), (192.168.1.12:5000), 2304, 2304, ACK:0 FIN:0
13:31:48.312140, (127.0.0.1:20001), (192.168.1.12:5000), 2880, 2880, ACK:0 FIN:0
13:31:48.732205, (127.0.0.1:20001), (192.168.1.12:5000), 3456, 3456, ACK:0 FIN:0
13:31:49.156283, (127.0.0.1:20001), (192.168.1.12:5000), 4032, 4032, ACK:0 FIN:0
13:31:49.580709, (127.0.0.1:20001), (192.168.1.12:5000), 4608, 4608, ACK:0 FIN:0
13:31:50.034453, (127.0.0.1:20001), (192.168.1.12:5000), 5184, 5184, ACK:0 FIN:0
13:31:50.457602, (127.0.0.1:20001), (192.168.1.12:5000), 5760, 5760, ACK:0 FIN:0
13:31:50.807947, (127.0.0.1:20001), (192.168.1.12:5000), 6336, 6336, ACK:0 FIN:0
13:31:51.187221, (127.0.0.1:20001), (192.168.1.12:5000), 6912, 6912, ACK:0 FIN:0
13:31:51.610080, (127.0.0.1:20001), (192.168.1.12:5000), 7488, 7488, ACK:0 FIN:0
13:31:52.036659, (127.0.0.1:20001), (192.168.1.12:5000), 8064, 8064, ACK:0 FIN:0
13:31:52.461087, (127.0.0.1:20001), (192.168.1.12:5000), 8640, 8640, ACK:0 FIN:0
13:31:52.882646, (127.0.0.1:20001), (192.168.1.12:5000), 9216, 9216, ACK:0 FIN:0
13:31:53.308151, (127.0.0.1:20001), (192.168.1.12:5000), 9792, 9792, ACK:0 FIN:0
13:31:53.659832, (127.0.0.1:20001), (192.168.1.12:5000), 10368, 10368, ACK:0 FIN:0
13:31:54.085868, (127.0.0.1:20001), (192.168.1.12:5000), 10944, 10944, ACK:0 FIN:0
13:31:54.510317, (127.0.0.1:20001), (192.168.1.12:5000), 11520, 11520, ACK:0 FIN:0
13:31:54.935219, (127.0.0.1:20001), (192.168.1.12:5000), 12096, 12096, ACK:0 FIN:0
13:31:55.358887, (127.0.0.1:20001), (192.168.1.12:5000), 12672, 12672, ACK:0 FIN:0
13:31:55.780295, (127.0.0.1:20001), (192.168.1.12:5000), 13248, 13248, ACK:0 FIN:0
13:31:56.130695, (127.0.0.1:20001), (192.168.1.12:5000), 13824, 13824, ACK:0 FIN:0
13:31:56.553744, (127.0.0.1:20001), (192.168.1.12:5000), 14400, 14400, ACK:0 FIN:0
13:31:57.043276, (127.0.0.1:20001), (192.168.1.12:5000), 14976, 14976, ACK:0 FIN:0
13:31:57.467669, (127.0.0.1:20001), (192.168.1.12:5000), 15552, 15552, ACK:0 FIN:0
13:31:57.891451, (127.0.0.1:20001), (192.168.1.12:5000), 16128, 16128, ACK:0 FIN:0
13:31:58.242536, (127.0.0.1:20001), (192.168.1.12:5000), 16704, 16704, ACK:0 FIN:0
13:31:58.668482, (127.0.0.1:20001), (192.168.1.12:5000), 17280, 17280, ACK:0 FIN:0
13:31:59.092838, (127.0.0.1:20001), (192.168.1.12:5000), 17856, 17856, ACK:0 FIN:0
13:31:59.517197, (127.0.0.1:20001), (192.168.1.12:5000), 18432, 18432, ACK:0 FIN:0
13:31:59.941816, (127.0.0.1:20001), (192.168.1.12:5000), 19008, 19008, ACK:0 FIN:0
13:32:00.365530, (127.0.0.1:20001), (192.168.1.12:5000), 19584, 19584, ACK:0 FIN:0
13:32:00.735207, (127.0.0.1:20001), (192.168.1.12:5000), 20160, 20160, ACK:0 FIN:0
13:32:01.159980, (127.0.0.1:20001), (192.168.1.12:5000), 20736, 20736, ACK:0 FIN:0
13:32:01.582715, (127.0.0.1:20001), (192.168.1.12:5000), 21312, 21312, ACK:0 FIN:0
13:32:02.037592, (127.0.0.1:20001), (192.168.1.12:5000), 21888, 21888, ACK:0 FIN:0
13:32:02.388753, (127.0.0.1:20001), (192.168.1.12:5000), 22464, 22464, ACK:0 FIN:0
13:32:02.816295, (127.0.0.1:20001), (192.168.1.12:5000), 23040, 23040, ACK:0 FIN:0
13:32:03.240958, (127.0.0.1:20001), (192.168.1.12:5000), 23616, 23616, ACK:0 FIN:0
13:32:03.666609, (127.0.0.1:20001), (192.168.1.12:5000), 24192, 24192, ACK:0 FIN:0
13:32:04.090731, (127.0.0.1:20001), (192.168.1.12:5000), 24768, 24768, ACK:0 FIN:0
